Name,HP,Attack,Defense,Speed,Special,Total
Bulbasaur,45,49,49,45,65,253
Ivysaur,60,62,63,60,80,325
Venusaur,80,82,83,80,100,425
Charmander,39,52,43,65,50,249
Charmeleon,58,64,58,80,65,325
Charizard,78,84,78,100,85,425
Squirtle,44,48,65,43,50,250
Wartortle,59,63,80,58,65,325
Blastoise,79,83,100,78,85,425
Caterpie,45,30,35,45,20,175
Metapod,50,20,55,30,25,180
Butterfree,60,45,50,70,80,305
Weedle,40,35,30,50,20,175
Kakuna,45,25,50,35,25,180
Beedrill,65,80,40,75,45,305
Pidgey,40,45,40,56,35,216
Pidgeotto,63,60,55,71,50,299
Pidgeot,83,80,75,91,70,399
Rattata,30,56,35,72,25,218
Raticate,55,81,60,97,50,343
Spearow,40,60,30,70,31,231
Fearow,65,90,65,100,61,381
Ekans,35,60,44,55,40,234
Arbok,60,85,69,80,65,359
Pikachu,35,55,30,90,50,260
Raichu,60,90,55,100,90,395
Sandshrew,50,75,85,40,30,280
Sandslash,75,100,110,65,55,405
Nidoran♀,55,47,52,41,40,235
Nidorina,70,62,67,56,55,310
Nidoqueen,90,82,87,76,75,410
Nidoran♂,46,57,40,50,40,233
Nidorino,61,72,57,65,55,310
Nidoking,81,92,77,85,75,410
Clefairy,70,45,48,35,60,258
Clefable,95,70,73,60,85,383
Vulpix,38,41,40,65,65,249
Ninetales,73,76,75,100,100,424
Jigglypuff,115,45,20,20,25,225
Wigglytuff,140,70,45,45,50,350
Zubat,40,45,35,55,40,215
Golbat,75,80,70,90,75,390
Oddish,45,50,55,30,75,255
Gloom,60,65,70,40,85,320
Vileplume,75,80,85,50,100,390
Paras,35,70,55,25,55,240
Parasect,60,95,80,30,80,345
Venonat,60,55,50,45,40,250
Venomoth,70,65,60,90,90,375
Diglett,10,55,25,95,45,230
Dugtrio,35,80,50,120,70,355
Meowth,40,45,35,90,40,250
Persian,65,70,60,115,65,375
Psyduck,50,52,48,55,50,255
Golduck,80,82,78,85,80,405
Mankey,40,80,35,70,35,260
Primeape,65,105,60,95,60,385
Growlithe,55,70,45,60,50,280
Arcanine,90,110,80,95,80,455
Poliwag,40,50,40,90,40,260
Poliwhirl,65,65,65,90,50,335
Poliwrath,90,85,95,70,70,410
Abra,25,20,15,90,105,255
Kadabra,40,35,30,105,120,330
Alakazam,55,50,45,120,135,405
Machop,70,80,50,35,35,270
Machoke,80,100,70,45,50,345
Machamp,90,130,80,55,65,420
Bellsprout,50,75,35,40,70,270
Weepinbell,65,90,50,55,85,345
Victreebel,80,105,65,70,100,420
Tentacool,40,40,35,70,100,285
Tentacruel,80,70,65,100,120,435
Geodude,40,80,100,20,30,270
Graveler,55,95,115,35,45,345
Golem,80,110,130,45,55,420
Ponyta,50,85,55,90,65,345
Rapidash,65,100,70,105,80,420
Slowpoke,90,65,65,15,40,275
Slowbro,95,75,110,30,80,390
Magnemite,25,35,70,45,95,270
Magneton,50,60,95,70,120,395
Farfetch'd,52,65,55,60,58,290
Doduo,35,85,45,75,35,275
Dodrio,60,110,70,100,60,400
Seel,65,45,55,45,70,280
Dewgong,90,70,80,70,95,405
Grimer,80,80,50,25,40,275
Muk,105,105,75,50,65,400
Shellder,30,65,100,40,45,280
Cloyster,50,95,180,70,85,480
Gastly,30,35,30,80,100,275
Haunter,45,50,45,95,115,350
Gengar,60,65,60,110,130,425
Onix,35,45,160,70,30,340
Drowzee,60,48,45,42,90,285
Hypno,85,73,70,67,115,410
Krabby,30,105,90,50,25,300
Kingler,55,130,115,75,50,425
Voltorb,40,30,50,100,55,275
Electrode,60,50,70,140,80,400
Exeggcute,60,40,80,40,60,280
Exeggutor,95,95,85,55,125,455
Cubone,50,50,95,35,40,270
Marowak,60,80,110,45,50,345
Hitmonlee,50,120,53,87,35,345
Hitmonchan,50,105,79,76,35,345
Lickitung,90,55,75,30,60,310
Koffing,40,65,95,35,60,295
Weezing,65,90,120,60,85,420
Rhyhorn,80,85,95,25,30,315
Rhydon,105,130,120,40,45,440
Chansey,250,5,5,50,105,415
Tangela,65,55,115,60,100,395
Kangaskhan,105,95,80,90,40,410
Horsea,30,40,70,60,70,270
Seadra,55,65,95,85,95,395
Goldeen,45,67,60,63,50,285
Seaking,80,92,65,68,80,385
Staryu,30,45,55,85,70,285
Starmie,60,75,85,115,100,435
Mr. Mime,40,45,65,90,100,340
Scyther,70,110,80,105,55,420
Jynx,65,50,35,95,95,340
Electabuzz,65,83,57,105,85,395
Magmar,65,95,57,93,85,395
Pinsir,65,125,100,85,55,430
Tauros,75,100,95,110,70,450
Magikarp,20,10,55,80,20,185
Gyarados,95,125,79,81,100,480
Lapras,130,85,80,60,95,450
Ditto,48,48,48,48,48,240
Eevee,55,55,50,55,65,280
Vaporeon,130,65,60,65,110,430
Jolteon,65,65,60,130,110,430
Flareon,65,130,60,65,110,430
Porygon,65,60,70,40,75,310
Omanyte,35,40,100,35,90,300
Omastar,70,60,125,55,115,425
Kabuto,30,80,90,55,45,300
Kabutops,60,115,105,80,70,430
Aerodactyl,80,105,65,130,60,440
Snorlax,160,110,65,30,65,430
Articuno,90,85,100,85,125,485
Zapdos,90,90,85,100,125,490
Moltres,90,100,90,90,125,495
Dratini,41,64,45,50,50,250
Dragonair,61,84,65,70,70,350
Dragonite,91,134,95,80,100,500
Mewtwo,106,110,90,130,154,590
Mew,100,100,100,100,100,500
